Cod Vendas;Data;ID Loja;Produto;Quantidade;Valor Unitário;Valor Final
40;2023-09-14;Loja 15;Tênis Esportivo;3;171,94;515,82
41;2023-01-14;Loja 03;Camiseta Básica;3;84,13;252,39
42;2024-05-10;Loja 12;Calça Moletom;1;128,04;128,04
43;2025-11-22;Loja 10;Calça Jeans;2;84,08;168,16
44;2023-11-06;Loja 08;Camisa Polo;2;96,32;192,64
45;2023-03-25;Loja 15;Calça Jeans;5;162,88;814,4
46;2025-01-04;Loja 20;Calça Jeans;3;114,74;344,22
47;2025-02-09;Loja 19;Blusa Manga Longa;4;66,63;266,52
48;2024-10-07;Loja 03;Calça Moletom;2;173,55;347,1
49;2025-09-18;Loja 09;Calça Moletom;4;127,29;509,16
50;2024-10-10;Loja 02;Sapato Social;3;120,79;362,37
51;2022-12-09;Loja 13;Tênis Esportivo;2;135,07;270,14
52;2023-06-01;Loja 14;Camisa Polo;3;51,5;154,5
53;2023-09-27;Loja 14;Shorts Sarja;2;84,84;169,68
54;2024-05-04;Loja 05;Bota Couro;4;191,15;764,6
55;2024-10-05;Loja 16;Tênis Corrida;4;232,02;928,08
56;2024-07-04;Loja 20;Chinelo;4;39,76;159,04
57;2023-06-10;Loja 17;Sapato Social;4;90,86;363,44
58;2023-09-24;Loja 19;Bota Couro;5;279,53;1397,65
59;2023-04-02;Loja 12;Blusa Manga Longa;3;91,48;274,44
60;2024-02-03;Loja 14;Camisa Polo;5;116,51;582,55
61;2023-06-03;Loja 01;Tênis Esportivo;2;100,93;201,86
62;2024-09-26;Loja 02;Shorts Sarja;3;51,29;153,87
63;2025-04-30;Loja 05;Tênis Esportivo;1;248,93;248,93
64;2023-04-02;Loja 14;Blusa Manga Longa;3;86,35;259,05
65;2023-09-12;Loja 03;Camisa Polo;1;144,67;144,67
66;2025-01-23;Loja 15;Chinelo;3;25,48;76,44
67;2023-11-07;Loja 11;Tênis Esportivo;1;145,22;145,22
68;2023-11-06;Loja 18;Sapato Social;3;151,64;454,92
69;2025-06-28;Loja 04;Blusa Manga Longa;5;96,33;481,65
70;2023-12-29;Loja 13;Camiseta Básica;4;52,59;210,36
71;2025-03-19;Loja 13;Sapatilha Casual;2;114,22;228,44
72;2023-03-17;Loja 15;Calça Jeans;2;153,21;306,42
73;2025-01-15;Loja 08;Bota Couro;1;206,62;206,62
74;2024-02-10;Loja 14;Camiseta Básica;2;68,31;136,62
75;2025-05-11;Loja 16;Tênis Esportivo;2;142,46;284,92
76;2022-12-11;Loja 09;Chinelo;3;13,89;41,67
77;2025-01-01;Loja 15;Tênis Esportivo;1;114,45;114,45
78;2023-11-05;Loja 10;Sapato Social;3;193,44;580,32
79;2024-09-30;Loja 05;Blusa Manga Longa;5;67,59;337,95
80;2024-10-20;Loja 06;Tênis Esportivo;2;294,42;588,84
81;2025-03-19;Loja 14;Chinelo;1;46,19;46,19
82;2025-08-06;Loja 02;Tênis Esportivo;3;241,44;724,32
83;2024-07-05;Loja 05;Sapatilha Casual;2;111,41;222,82
84;2023-08-07;Loja 07;Camisa Polo;4;128,12;512,48
85;2025-11-03;Loja 04;Sapatilha Casual;4;36,93;147,72
86;2025-11-09;Loja 02;Chinelo;3;45,76;137,28
87;2023-10-12;Loja 10;Shorts Sarja;3;55,62;166,86
88;2022-12-05;Loja 01;Camisa Polo;4;48,38;193,52
89;2023-05-27;Loja 02;Calça Jeans;5;52,89;264,45
90;2024-12-23;Loja 02;Calça Moletom;5;78,64;393,2
91;2022-12-09;Loja 15;Bota Couro;3;225,24;675,72
92;2024-04-24;Loja 20;Tênis Corrida;5;142,17;710,85
93;2023-11-17;Loja 13;Tênis Esportivo;5;121,54;607,7
94;2025-07-21;Loja 16;Sapatilha Casual;4;94,26;377,04
95;2025-08-26;Loja 15;Calça Jeans;1;133,26;133,26
96;2023-12-21;Loja 03;Bota Couro;4;225,72;902,88
97;2025-01-29;Loja 20;Camiseta Básica;5;69,24;346,2
98;2023-01-01;Loja 14;Chinelo;3;46,99;140,97
99;2024-12-07;Loja 11;Shorts Sarja;2;61,02;122,04
100;2024-04-19;Loja 08;Sapatilha Casual;2;94,5;189,0
101;2024-05-23;Loja 19;Tênis Esportivo;5;250,39;1251,95
102;2025-07-06;Loja 05;Chinelo;4;10,36;41,44
103;2023-07-31;Loja 18;Tênis Corrida;5;298,9;1494,5
104;2022-11-29;Loja 03;Calça Jeans;5;107,24;536,2
105;2025-10-09;Loja 18;Sapato Social;4;85,82;343,28
106;2024-10-17;Loja 08;Sapato Social;4;116,14;464,56
107;2025-04-16;Loja 07;Tênis Esportivo;1;209,98;209,98
108;2024-06-20;Loja 20;Shorts Sarja;5;35,06;175,3
109;2025-04-24;Loja 01;Calça Moletom;3;88,43;265,29
110;2022-12-14;Loja 18;Tênis Corrida;4;202,03;808,12
111;2022-12-29;Loja 01;Calça Moletom;2;115,23;230,46
112;2025-07-26;Loja 09;Bota Couro;1;321,09;321,09
113;2025-09-20;Loja 02;Tênis Corrida;1;130,48;130,48
114;2024-07-27;Loja 09;Tênis Corrida;1;147,41;147,41
115;2024-11-01;Loja 04;Blusa Manga Longa;3;70,79;212,37
116;2025-01-29;Loja 01;Tênis Corrida;5;191,33;956,65
117;2024-10-08;Loja 05;Calça Moletom;2;176,22;352,44
118;2023-11-27;Loja 09;Chinelo;4;28,82;115,28
119;2023-04-09;Loja 18;Blusa Manga Longa;5;71,92;359,6
120;2025-01-20;Loja 10;Sapatilha Casual;4;33,09;132,36
121;2025-03-02;Loja 06;Camisa Polo;4;72,06;288,24
122;2025-11-18;Loja 18;Tênis Esportivo;3;198,11;594,33
123;2023-06-02;Loja 03;Bota Couro;5;169,03;845,15
124;2025-07-29;Loja 20;Camiseta Básica;1;135,62;135,62
125;2025-11-23;Loja 13;Camiseta Básica;5;104,55;522,75
126;2023-12-11;Loja 16;Calça Jeans;3;58,5;175,5
127;2024-12-25;Loja 05;Camiseta Básica;5;111,11;555,55
128;2024-02-10;Loja 15;Chinelo;5;47,32;236,6
129;2024-09-23;Loja 04;Bota Couro;1;274,43;274,43
130;2025-06-04;Loja 14;Calça Jeans;3;56,85;170,55
131;2022-12-16;Loja 01;Tênis Corrida;3;256,43;769,29
132;2025-03-03;Loja 11;Camisa Polo;4;46,92;187,68
133;2025-03-23;Loja 14;Sapato Social;5;108,92;544,6
134;2023-10-02;Loja 15;Camiseta Básica;4;91,5;366,0
135;2023-06-05;Loja 19;Shorts Sarja;1;66,48;66,48
136;2025-01-04;Loja 02;Bota Couro;3;119,51;358,53
137;2025-06-02;Loja 01;Tênis Esportivo;3;150,98;452,94
138;2022-12-24;Loja 06;Calça Moletom;3;97,86;293,58
139;2024-01-03;Loja 03;Bota Couro;5;224,66;1123,3
140;2024-01-10;Loja 07;Sapatilha Casual;3;74,25;222,75
141;2025-10-27;Loja 06;Tênis Corrida;1;147,81;147,81
142;2025-10-24;Loja 13;Sapato Social;1;135,55;135,55
143;2024-03-01;Loja 03;Blusa Manga Longa;4;45,94;183,76
144;2023-08-30;Loja 16;Tênis Corrida;1;83,47;83,47
145;2023-06-24;Loja 13;Blusa Manga Longa;2;36,91;73,82
146;2024-01-03;Loja 18;Calça Moletom;5;89,3;446,5
147;2025-08-26;Loja 12;Shorts Sarja;3;75,24;225,72
148;2024-07-04;Loja 05;Bota Couro;3;288,8;866,4
149;2024-05-15;Loja 19;Sapatilha Casual;5;90,29;451,45
150;2023-10-10;Loja 06;Sapato Social;2;165,65;331,3
151;2025-03-12;Loja 06;Sapatilha Casual;2;54,96;109,92
152;2023-12-28;Loja 05;Sapatilha Casual;5;78,91;394,55
153;2025-07-15;Loja 09;Chinelo;3;32,29;96,87
154;2023-12-12;Loja 10;Blusa Manga Longa;2;60,4;120,8
155;2023-01-07;Loja 13;Tênis Corrida;1;188,04;188,04
156;2025-04-13;Loja 12;Tênis Corrida;3;201,27;603,81
157;2023-05-29;Loja 02;Bota Couro;3;130,41;391,23
158;2023-04-24;Loja 08;Sapatilha Casual;4;59,86;239,44
159;2024-06-19;Loja 07;Shorts Sarja;2;75,1;150,2
160;2025-03-08;Loja 02;Calça Moletom;3;157,38;472,14
161;2024-10-28;Loja 08;Chinelo;5;37,76;188,8
162;2023-07-26;Loja 09;Calça Moletom;4;175,24;700,96
163;2025-02-10;Loja 16;Tênis Corrida;1;153,15;153,15
164;2023-04-30;Loja 16;Camiseta Básica;2;112,28;224,56
165;2024-01-20;Loja 13;Tênis Esportivo;2;248,05;496,1
166;2025-06-26;Loja 20;Tênis Esportivo;2;273,61;547,22
167;2024-10-12;Loja 03;Calça Moletom;1;102,53;102,53
168;2024-04-12;Loja 20;Tênis Esportivo;4;86,88;347,52
169;2023-10-20;Loja 18;Calça Moletom;4;87,76;351,04
170;2024-12-27;Loja 14;Sapatilha Casual;5;55,7;278,5
171;2023-02-13;Loja 04;Sapatilha Casual;2;89,57;179,14
172;2023-11-19;Loja 20;Camisa Polo;5;61,22;306,1
173;2023-05-19;Loja 02;Camiseta Básica;1;104,66;104,66
174;2025-01-25;Loja 02;Tênis Esportivo;2;65,44;130,88
175;2024-02-12;Loja 09;Calça Moletom;1;175,62;175,62
176;2024-07-25;Loja 05;Camisa Polo;1;125,51;125,51
177;2025-08-20;Loja 19;Sapatilha Casual;4;30,51;122,04
178;2023-12-20;Loja 11;Camiseta Básica;4;49,57;198,28
179;2025-11-04;Loja 19;Chinelo;4;23,76;95,04
180;2023-03-12;Loja 14;Tênis Corrida;1;100,28;100,28
181;2025-11-05;Loja 07;Camisa Polo;5;143,47;717,35
182;2024-06-29;Loja 08;Bota Couro;5;181,18;905,9
183;2023-06-22;Loja 17;Shorts Sarja;2;55,65;111,3
184;2023-01-21;Loja 02;Bota Couro;5;150,75;753,75
185;2025-07-31;Loja 03;Tênis Corrida;2;217,78;435,56
186;2024-11-15;Loja 11;Tênis Corrida;3;291,36;874,08
187;2024-12-25;Loja 20;Camisa Polo;2;49,68;99,36
188;2023-03-01;Loja 15;Shorts Sarja;4;42,14;168,56
189;2025-02-06;Loja 13;Tênis Esportivo;1;223,17;223,17
190;2024-02-11;Loja 01;Sapatilha Casual;1;40,9;40,9
191;2023-04-02;Loja 02;Sapato Social;2;192,62;385,24
192;2024-08-09;Loja 03;Camiseta Básica;4;84,73;338,92
193;2025-03-20;Loja 13;Shorts Sarja;2;52,8;105,6
194;2024-11-20;Loja 15;Camiseta Básica;2;116,37;232,74
195;2024-11-02;Loja 17;Calça Moletom;1;102,2;102,2
196;2023-10-13;Loja 10;Sapatilha Casual;3;92,48;277,44
197;2025-08-02;Loja 16;Sapato Social;1;147,32;147,32
198;2024-06-30;Loja 10;Shorts Sarja;3;47,67;143,01
199;2025-05-05;Loja 10;Sapato Social;5;248,08;1240,4
200;2023-05-15;Loja 16;Tênis Corrida;4;268,85;1075,4
201;2023-11-06;Loja 18;Blusa Manga Longa;4;69,73;278,92
202;2023-08-20;Loja 16;Camiseta Básica;5;61,96;309,8
203;2025-07-15;Loja 16;Blusa Manga Longa;4;39,7;158,8
204;2024-11-12;Loja 04;Calça Moletom;2;96,45;192,9
205;2023-06-14;Loja 08;Tênis Corrida;3;211,5;634,5
206;2024-04-29;Loja 04;Camiseta Básica;5;91,37;456,85
207;2023-11-03;Loja 12;Sapato Social;5;186,07;930,35
208;2023-09-26;Loja 05;Bota Couro;4;226,69;906,76
209;2025-01-25;Loja 17;Sapato Social;4;157,78;631,12
210;2025-05-27;Loja 05;Calça Jeans;4;87,51;350,04
211;2023-08-27;Loja 08;Camisa Polo;5;115,05;575,25
212;2024-08-06;Loja 16;Shorts Sarja;5;74,39;371,95
213;2025-10-25;Loja 08;Calça Moletom;2;125,95;251,9
214;2022-12-17;Loja 14;Blusa Manga Longa;3;55,27;165,81
215;2022-12-09;Loja 03;Bota Couro;3;316,19;948,57
216;2023-07-25;Loja 20;Bota Couro;1;341,9;341,9
217;2025-06-20;Loja 10;Calça Jeans;1;58,16;58,16
218;2023-01-23;Loja 09;Bota Couro;3;176,97;530,91
219;2023-09-22;Loja 01;Blusa Manga Longa;4;99,91;399,64
220;2024-12-11;Loja 08;Tênis Esportivo;3;279,14;837,42
221;2023-12-16;Loja 01;Sapato Social;2;191,65;383,3
222;2024-02-16;Loja 07;Calça Moletom;1;136,18;136,18
223;2023-01-16;Loja 06;Calça Jeans;4;161,27;645,08
224;2022-12-16;Loja 11;Sapatilha Casual;1;108,23;108,23
225;2023-06-22;Loja 19;Tênis Corrida;5;119,75;598,75
226;2025-02-27;Loja 11;Shorts Sarja;2;74,82;149,64
227;2022-12-12;Loja 03;Tênis Esportivo;1;128,79;128,79
228;2025-05-09;Loja 02;Blusa Manga Longa;2;59,98;119,96
229;2023-02-07;Loja 07;Calça Moletom;1;75,48;75,48
230;2023-08-02;Loja 17;Tênis Corrida;5;136,72;683,6
231;2025-08-10;Loja 11;Bota Couro;1;217,81;217,81
232;2025-05-05;Loja 19;Chinelo;1;23,32;23,32
233;2023-08-24;Loja 18;Shorts Sarja;1;51,96;51,96
234;2025-01-22;Loja 08;Tênis Esportivo;3;260,48;781,44
235;2025-11-07;Loja 19;Sapato Social;4;108,08;432,32
236;2024-11-14;Loja 14;Calça Moletom;1;108,36;108,36
237;2023-09-28;Loja 07;Calça Moletom;4;67,87;271,48
238;2025-11-02;Loja 18;Camiseta Básica;4;128,86;515,44
239;2025-03-12;Loja 12;Tênis Esportivo;5;250,69;1253,45
240;2024-12-20;Loja 19;Chinelo;1;37,48;37,48
241;2023-11-27;Loja 08;Calça Jeans;1;148,91;148,91
242;2024-06-22;Loja 05;Calça Jeans;3;59,62;178,86
243;2025-03-07;Loja 06;Sapatilha Casual;4;100,13;400,52
244;2024-01-03;Loja 18;Sapato Social;5;101,75;508,75
245;2023-04-08;Loja 10;Calça Moletom;2;78,98;157,96
246;2023-01-30;Loja 15;Blusa Manga Longa;3;82,24;246,72
247;2025-09-26;Loja 05;Tênis Esportivo;4;140,69;562,76
248;2023-10-11;Loja 11;Sapato Social;4;108,33;433,32
249;2023-09-15;Loja 17;Calça Moletom;1;157,51;157,51
250;2024-12-13;Loja 06;Calça Moletom;2;83,37;166,74
251;2025-10-18;Loja 04;Camiseta Básica;5;136,47;682,35
252;2022-12-24;Loja 01;Shorts Sarja;2;44,5;89,0
253;2025-10-25;Loja 10;Bota Couro;4;121,83;487,32
254;2025-07-20;Loja 07;Bota Couro;4;319,08;1276,32
255;2024-09-11;Loja 13;Sapatilha Casual;4;40,36;161,44
256;2025-10-28;Loja 04;Calça Jeans;5;95,24;476,2
257;2023-01-28;Loja 16;Calça Moletom;2;90,33;180,66
258;2023-01-25;Loja 10;Tênis Esportivo;3;270,17;810,51
259;2024-01-19;Loja 14;Tênis Esportivo;3;236,35;709,05
260;2025-02-14;Loja 14;Tênis Esportivo;2;171,84;343,68
261;2025-09-26;Loja 10;Calça Moletom;1;75,58;75,58
262;2022-12-22;Loja 18;Camiseta Básica;1;62,83;62,83
263;2024-02-29;Loja 14;Blusa Manga Longa;3;96,59;289,77
264;2025-07-15;Loja 11;Camiseta Básica;5;88,96;444,8
265;2023-11-10;Loja 09;Bota Couro;5;201,35;1006,75
266;2025-08-24;Loja 03;Calça Jeans;2;138,89;277,78
267;2022-12-15;Loja 10;Tênis Esportivo;5;284,05;1420,25
268;2025-08-28;Loja 02;Chinelo;4;44,67;178,68
269;2025-02-02;Loja 05;Tênis Esportivo;3;239,7;719,1
270;2024-05-02;Loja 08;Tênis Esportivo;4;61,97;247,88
271;2024-11-18;Loja 02;Tênis Corrida;4;159,6;638,4
272;2023-05-22;Loja 05;Camisa Polo;2;142,6;285,2
273;2025-06-17;Loja 01;Chinelo;4;38,62;154,48
274;2025-06-23;Loja 01;Sapato Social;3;161,62;484,86
275;2023-10-13;Loja 20;Chinelo;4;19,77;79,08
276;2023-11-15;Loja 17;Tênis Corrida;5;281,24;1406,2
277;2023-08-04;Loja 03;Chinelo;2;38,69;77,38
278;2025-06-29;Loja 03;Sapato Social;5;132,41;662,05
279;2025-09-08;Loja 03;Bota Couro;5;215,42;1077,1
280;2025-11-14;Loja 02;Camisa Polo;4;51,5;206,0
281;2024-01-14;Loja 03;Sapatilha Casual;1;56,19;56,19
282;2024-02-08;Loja 13;Camisa Polo;2;68,32;136,64
283;2023-09-09;Loja 19;Calça Moletom;3;149,51;448,53
284;2023-09-01;Loja 01;Sapatilha Casual;4;70,15;280,6
285;2025-09-02;Loja 19;Sapato Social;4;121,47;485,88
286;2025-03-30;Loja 16;Calça Moletom;4;60,92;243,68
287;2023-03-08;Loja 19;Camisa Polo;3;104,39;313,17
288;2023-09-22;Loja 03;Tênis Esportivo;1;108,9;108,9
289;2025-06-14;Loja 08;Shorts Sarja;1;72,35;72,35
290;2025-03-20;Loja 11;Calça Jeans;3;104,09;312,27
291;2023-06-18;Loja 05;Chinelo;5;21,71;108,55
292;2024-11-13;Loja 02;Bota Couro;4;331,44;1325,76
293;2025-04-13;Loja 14;Camiseta Básica;5;125,02;625,1
294;2025-03-11;Loja 14;Tênis Corrida;5;101,12;505,6
295;2024-08-27;Loja 16;Tênis Esportivo;4;93,95;375,8
296;2025-03-24;Loja 18;Sapato Social;3;101,27;303,81
297;2024-12-05;Loja 20;Chinelo;1;10,74;10,74
298;2024-09-28;Loja 16;Shorts Sarja;5;35,29;176,45
299;2025-05-11;Loja 07;Calça Jeans;5;67,97;339,85
300;2025-03-29;Loja 10;Bota Couro;4;249,73;998,92
301;2023-01-02;Loja 20;Shorts Sarja;2;62,24;124,48
302;2023-12-23;Loja 03;Shorts Sarja;4;59,05;236,2
303;2024-09-16;Loja 02;Sapatilha Casual;2;50,26;100,52
304;2024-12-26;Loja 02;Calça Jeans;4;116,44;465,76
305;2025-02-21;Loja 17;Bota Couro;4;224,71;898,84
306;2023-02-28;Loja 11;Sapato Social;3;211,29;633,87
307;2024-08-27;Loja 01;Tênis Corrida;1;221,41;221,41
308;2025-06-20;Loja 14;Blusa Manga Longa;1;60,22;60,22
309;2024-01-19;Loja 11;Bota Couro;3;149,43;448,29
310;2023-05-30;Loja 10;Shorts Sarja;1;58,43;58,43
311;2025-03-20;Loja 03;Bota Couro;1;215,58;215,58
312;2023-07-21;Loja 10;Sapatilha Casual;1;110,65;110,65
313;2024-07-01;Loja 15;Sapato Social;3;244,57;733,71
314;2023-01-25;Loja 07;Sapato Social;1;196,87;196,87
315;2023-04-21;Loja 08;Sapato Social;3;105,43;316,29
316;2025-10-07;Loja 07;Sapato Social;3;240,68;722,04
317;2023-03-05;Loja 06;Chinelo;1;15,76;15,76
318;2025-01-09;Loja 11;Calça Jeans;2;91,68;183,36
319;2023-09-20;Loja 06;Shorts Sarja;2;54,28;108,56
320;2025-01-21;Loja 17;Tênis Corrida;2;201,05;402,1
321;2025-01-28;Loja 09;Sapato Social;1;128,57;128,57
322;2023-12-21;Loja 16;Calça Moletom;2;60,62;121,24
323;2023-02-21;Loja 07;Sapato Social;2;151,88;303,76
324;2023-09-28;Loja 07;Sapatilha Casual;1;37,31;37,31
325;2025-03-07;Loja 06;Tênis Corrida;5;148,21;741,05
326;2025-05-12;Loja 09;Bota Couro;1;128,38;128,38
327;2025-08-02;Loja 13;Chinelo;3;16,12;48,36
328;2023-03-27;Loja 09;Camisa Polo;5;66,48;332,4
329;2024-04-19;Loja 14;Sapato Social;3;141,01;423,03
330;2025-08-25;Loja 13;Camiseta Básica;2;53,07;106,14
331;2022-12-06;Loja 15;Bota Couro;3;319,03;957,09
332;2023-02-23;Loja 12;Camiseta Básica;4;80,86;323,44
333;2024-04-22;Loja 16;Tênis Corrida;3;149,47;448,41
334;2024-12-09;Loja 01;Shorts Sarja;3;89,51;268,53
335;2023-09-26;Loja 11;Sapatilha Casual;2;91,75;183,5
336;2024-02-05;Loja 10;Tênis Corrida;4;206,3;825,2
337;2022-12-12;Loja 07;Camisa Polo;3;103,77;311,31
338;2023-03-18;Loja 03;Calça Moletom;2;137,77;275,54
339;2022-12-27;Loja 19;Bota Couro;4;224,49;897,96
340;2025-03-24;Loja 18;Camisa Polo;2;126,0;252,0
341;2023-12-02;Loja 15;Calça Jeans;1;129,54;129,54
342;2025-07-15;Loja 05;Calça Jeans;5;163,01;815,05
343;2023-03-23;Loja 06;Tênis Esportivo;2;280,99;561,98
344;2025-09-24;Loja 19;Chinelo;4;36,15;144,6
345;2024-08-10;Loja 05;Tênis Corrida;1;220,51;220,51
346;2025-02-11;Loja 16;Sapato Social;4;89,38;357,52
347;2022-12-17;Loja 08;Sapatilha Casual;2;97,69;195,38
348;2024-05-09;Loja 09;Sapato Social;1;205,18;205,18
349;2023-04-26;Loja 06;Camisa Polo;3;47,2;141,6
350;2024-04-19;Loja 19;Shorts Sarja;3;53,38;160,14
351;2024-08-03;Loja 07;Shorts Sarja;3;78,54;235,62
352;2024-11-07;Loja 05;Shorts Sarja;4;73,96;295,84
353;2022-12-07;Loja 20;Blusa Manga Longa;1;72,05;72,05
354;2024-05-28;Loja 10;Calça Moletom;1;176,52;176,52
355;2023-10-19;Loja 07;Chinelo;4;10,57;42,28
356;2024-09-21;Loja 06;Blusa Manga Longa;3;39,58;118,74
357;2023-04-06;Loja 05;Blusa Manga Longa;4;101,08;404,32
358;2023-03-25;Loja 03;Tênis Esportivo;1;151,66;151,66
359;2023-11-28;Loja 01;Calça Moletom;4;77,55;310,2
360;2023-05-25;Loja 02;Blusa Manga Longa;1;52,32;52,32
361;2024-03-29;Loja 06;Camisa Polo;4;101,74;406,96
362;2024-09-01;Loja 10;Calça Moletom;4;137,58;550,32
363;2023-01-23;Loja 20;Camiseta Básica;1;77,79;77,79
364;2025-07-17;Loja 06;Chinelo;1;10,61;10,61
365;2024-06-29;Loja 05;Blusa Manga Longa;5;105,52;527,6
366;2023-03-21;Loja 12;Blusa Manga Longa;1;74,75;74,75
367;2024-12-06;Loja 10;Blusa Manga Longa;4;109,45;437,8
368;2023-06-09;Loja 07;Sapato Social;5;186,85;934,25
369;2023-12-28;Loja 02;Shorts Sarja;5;36,58;182,9
370;2023-05-30;Loja 16;Camiseta Básica;5;118,01;590,05
371;2024-05-14;Loja 18;Camisa Polo;3;129,67;389,01
372;2023-08-26;Loja 07;Chinelo;5;18,28;91,4
373;2023-02-23;Loja 10;Blusa Manga Longa;2;92,15;184,3
374;2023-10-18;Loja 11;Sapato Social;2;234,99;469,98
375;2025-04-24;Loja 05;Camiseta Básica;4;93,28;373,12
376;2025-02-09;Loja 17;Tênis Corrida;2;221,81;443,62
377;2022-12-31;Loja 19;Blusa Manga Longa;1;56,15;56,15
378;2023-01-06;Loja 12;Blusa Manga Longa;5;47,87;239,35
379;2025-07-14;Loja 07;Calça Moletom;5;97,78;488,9
380;2024-04-16;Loja 10;Shorts Sarja;4;80,85;323,4
381;2022-12-29;Loja 06;Shorts Sarja;4;44,31;177,24
382;2023-05-19;Loja 08;Camiseta Básica;4;113,9;455,6
383;2025-03-23;Loja 03;Bota Couro;5;230,46;1152,3
384;2025-06-14;Loja 11;Blusa Manga Longa;1;46,65;46,65
385;2024-09-20;Loja 14;Sapatilha Casual;5;34,54;172,7
386;2024-06-10;Loja 01;Tênis Corrida;5;269,45;1347,25
387;2024-08-23;Loja 04;Tênis Esportivo;3;67,85;203,55
388;2025-03-20;Loja 06;Shorts Sarja;5;60,43;302,15
389;2023-06-10;Loja 11;Tênis Corrida;1;258,05;258,05
390;2022-12-19;Loja 19;Tênis Esportivo;5;109,47;547,35
391;2023-04-14;Loja 13;Tênis Corrida;3;175,06;525,18
392;2023-07-05;Loja 18;Shorts Sarja;5;73,06;365,3
393;2024-09-14;Loja 17;Tênis Esportivo;4;163,44;653,76
394;2023-01-06;Loja 17;Tênis Esportivo;3;214,74;644,22
395;2025-04-07;Loja 04;Sapatilha Casual;3;73,39;220,17
396;2024-01-30;Loja 11;Calça Moletom;4;101,54;406,16
397;2024-05-09;Loja 18;Shorts Sarja;2;72,27;144,54
398;2024-12-06;Loja 18;Tênis Corrida;4;129,28;517,12
399;2025-06-22;Loja 03;Blusa Manga Longa;1;61,2;61,2
400;2023-07-12;Loja 01;Calça Jeans;1;165,75;165,75
401;2025-06-26;Loja 03;Tênis Esportivo;3;167,4;502,2
402;2023-10-16;Loja 18;Tênis Esportivo;2;226,78;453,56
403;2023-04-21;Loja 16;Tênis Corrida;1;82,81;82,81
404;2024-03-02;Loja 06;Blusa Manga Longa;3;82,19;246,57
405;2023-04-01;Loja 10;Sapato Social;2;157,65;315,3
406;2023-08-04;Loja 11;Shorts Sarja;3;30,8;92,4
407;2025-10-06;Loja 06;Tênis Esportivo;5;288,64;1443,2
408;2023-10-01;Loja 07;Calça Jeans;4;72,69;290,76
409;2023-02-04;Loja 05;Sapatilha Casual;4;85,82;343,28
410;2023-03-04;Loja 13;Shorts Sarja;5;57,27;286,35
411;2025-01-26;Loja 02;Bota Couro;5;336,88;1684,4
412;2024-09-26;Loja 02;Tênis Corrida;2;150,99;301,98
413;2024-05-18;Loja 15;Sapato Social;5;88,22;441,1
414;2024-01-24;Loja 10;Bota Couro;3;222,55;667,65
